Afvalstroomnummer,Verwerkersnummer Locatie van Bestemming (LvB),LvB KvK nummer,LvB Bedrijfsnaam,LvB Adres,LvB Postcode/Plaats,Handelsregisternummer Ontdoener,Naam Ontdoener,Land Ontdoener,LocatieHerkomst Straatnaam,LocatieHerkomst Huisnummer,LocatieHerkomst HuisnummerToevoeging,LocatieHerkomst Postcode,LocatieHerkomst Plaats,LocatieHerkomst Nabijheidsbeschrijving,LocatieHerkomst Land,Euralcode,Euralcode Omschrijving,Gebruikelijke Naam Afvalstof,VerwerkingsMethode Code,VerwerkingsMethode Omschrijving,Routeinzameling,Inzamelaarsregeling,Particuliere Ontdoener
087970000125,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,24219637,Auto- en Scheeps Electriciteit (A.S.E.) B.V.,Nederland,Trawlerweg,6,,3133KS,VLAARDINGEN,,Nederland,160601,loodaccus,Accu's,A02,Overslag / opbulken,N,N,N
087970000125,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,24219637,Auto- en Scheeps Electriciteit (A.S.E.) B.V.,Nederland,Trawlerweg,6,,3133KS,VLAARDINGEN,,Nederland,160601,loodaccus,Accu's,A02,Overslag / opbulken,N,N,N
087970000135,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27318476,Djons B.V.,Nederland,De Derde Hoeve,30,,2676CS,MAASDIJK,,Nederland,170405,ijzer en staal,Ijzer,A02,Overslag / opbulken,N,N,N
087970000140,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,24343009,Aquatech Watersnijtechniek B.V.,Nederland,Kade,62,,3371EP,HARDINXVELD-GIESSENDAM,,Nederland,170407,gemengde metalen,gemengde metalen,A02,Overslag / opbulken,N,N,N
087970000141,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,24343009,Aquatech Watersnijtechniek B.V.,Nederland,Kade,62,,3371EP,HARDINXVELD-GIESSENDAM,,Nederland,170407,gemengde metalen,gemengde metalen,A02,Overslag / opbulken,N,N,N
087970000145,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,60927372,Autodemontagebedrijf Binckhorst B.V.,Nederland,Steenplaetsstraat,5,,2288AA,RIJSWIJK ZH,,Nederland,170405,ijzer en staal,Ijzer,A02,Overslag / opbulken,N,N,N
087970000146,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27230471,Van der Ende Pompen B.V.,Nederland,Aartsdijkweg,23,,2676LE,MAASDIJK,,Nederland,170407,gemengde metalen,gemengde metalen,A02,Overslag / opbulken,N,N,N
087970000150,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,68457499,Van Leersum & Zn. B.V.,Nederland,Warmoezenierstraat,23,,2671ZP,NAALDWIJK,,Nederland,170405,ijzer en staal,ijzer en staal,A02,Overslag / opbulken,N,N,N
087970000150,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,68457499,Van Leersum & Zn. B.V.,Nederland,Warmoezenierstraat,23,,2671ZP,NAALDWIJK,,Nederland,170405,ijzer en staal,ijzer en staal,A02,Overslag / opbulken,N,N,N
087970000155,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27222194,Beekenkamp Plants B.V.,Nederland,Korte Kruisweg,141,C,2676BS,MAASDIJK,,Nederland,170401,"koper, brons en messing","koper, brons en messing",A02,Overslag / opbulken,N,N,N
