Afvalstroomnummer,Verwerkersnummer Locatie van Bestemming (LvB),LvB KvK nummer,LvB Bedrijfsnaam,LvB Adres,LvB Postcode/Plaats,Handelsregisternummer Ontdoener,Naam Ontdoener,Land Ontdoener,LocatieHerkomst Straatnaam,LocatieHerkomst Huisnummer,LocatieHerkomst HuisnummerToevoeging,LocatieHerkomst Postcode,LocatieHerkomst Plaats,LocatieHerkomst Nabijheidsbeschrijving,LocatieHerkomst Land,Euralcode,Euralcode Omschrijving,Gebruikelijke Naam Afvalstof,VerwerkingsMethode Code,VerwerkingsMethode Omschrijving,Routeinzameling,Inzamelaarsregeling,Particuliere Ontdoener
087970000381,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,61861561,Powergrid Solutions B.V.,Nederland,Hoefsmid,3,,2292JJ,WATERINGEN,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000384,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,29014981,Bergbanket B.V.,Nederland,Industriestraat,5,,2751GT,MOERKAPELLE,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000384,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,29014981,Bergbanket B.V.,Nederland,Industriestraat,5,,2751GT,MOERKAPELLE,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000386,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,55462839,B.G. Installatie B.V.,Nederland,Franklinstraat,2,a,2691HB,'S-GRAVENZANDE,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000386,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,55462839,B.G. Installatie B.V.,Nederland,Franklinstraat,2,a,2691HB,'S-GRAVENZANDE,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000387,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,60927372,Autodemontagebedrijf Binckhorst B.V.,Nederland,Steenplaetsstraat,5,,2288AA,RIJSWIJK ZH,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000387,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,60927372,Autodemontagebedrijf Binckhorst B.V.,Nederland,Steenplaetsstraat,5,,2288AA,RIJSWIJK ZH,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000388,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,24281717,Autoschade Herstel Naaldwijk B.V.,Nederland,Ambachtstraat,1,C,2671CN,NAALDWIJK,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000388,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,24281717,Autoschade Herstel Naaldwijk B.V.,Nederland,Ambachtstraat,1,C,2671CN,NAALDWIJK,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000389,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27247107,Avisloop B.V.,Nederland,Maaslandseweg,2,,2291PH,WATERINGEN,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000389,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27247107,Avisloop B.V.,Nederland,Maaslandseweg,2,,2291PH,WATERINGEN,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000390,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,52554481,Bas van den Ende Recycling B.V.,Nederland,Nieuw Oranjekanaal,75,,3151XL,HOEK VAN HOLLAND,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000390,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,52554481,Bas van den Ende Recycling B.V.,Nederland,Nieuw Oranjekanaal,75,,3151XL,HOEK VAN HOLLAND,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000391,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27222194,Beekenkamp Plants B.V.,Nederland,Korte Kruisweg,141,C,2676BS,MAASDIJK,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000391,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27222194,Beekenkamp Plants B.V.,Nederland,Korte Kruisweg,141,C,2676BS,MAASDIJK,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000393,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,56889143,5Hands Metaal B.V.,Nederland,Jan van der Heydenstraat,26,D,2665JA,BLEISWIJK,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000393,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,56889143,5Hands Metaal B.V.,Nederland,Jan van der Heydenstraat,26,D,2665JA,BLEISWIJK,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000394,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,28067677,Aannemingsbedrijf Maarten van Rijn B.V.,Nederland,De Scheysloot,81,,2201GN,NOORDWIJK ZH,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000396,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,56086407,ALULOX Oppervlaktetechniek B.V.,Nederland,Calandstraat,73,,3125BA,SCHIEDAM,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000398,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,24219637,Auto- en Scheeps Electriciteit (A.S.E.) B.V.,Nederland,Trawlerweg,6,,3133KS,VLAARDINGEN,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000399,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,24164590,Autobedrijf Schalkoort B.V.,Nederland,Zekkenweg,80,,3151ZC,HOEK VAN HOLLAND,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000400,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,57878749,Joha Techniek B.V.,Nederland,Stationsweg,65,,2675AM,HONSELERSDIJK,,Nederland,160601,loodaccus,loodaccu''s,A02,Overslag / opbulken,N,N,N
087970000401,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,,Particulier,,,,,,,,,200140,metalen,metalen,A02,Overslag / opbulken,N,N,J
087970000401,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,,Particulier,,,,,,,,,200140,metalen,metalen,A02,Overslag / opbulken,N,N,J
087970000403,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27272865,Firma Gebroeders Noordam,Nederland,Bonnenlaan,5,,2691NL,'S-GRAVENZANDE,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000404,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27191117,Rijk Zwaan Production B.V.,Nederland,Burgemeester Crezeelaan,64,a,2678KZ,DE LIER,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000406,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,24148903,Loodgietersbedrijf A.J. de Geus B.V.,Nederland,Boterdiep,15,,3077AW,ROTTERDAM,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000406,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,24148903,Loodgietersbedrijf A.J. de Geus B.V.,Nederland,Boterdiep,15,,3077AW,ROTTERDAM,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000407,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27260661,Kwekerij Denim-Fleur B.V.,Nederland,Vierschaar,56,,2691MT,'S-GRAVENZANDE,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000407,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27260661,Kwekerij Denim-Fleur B.V.,Nederland,Vierschaar,56,,2691MT,'S-GRAVENZANDE,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000409,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,18051720,Solid Systems B.V.,Nederland,Jakobsstaf,2,,4251LW,WERKENDAM,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000409,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,18051720,Solid Systems B.V.,Nederland,Jakobsstaf,2,,4251LW,WERKENDAM,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000410,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,67726143,Van der Goes Europa B.V.,Nederland,Bovendijk,33,,2295RV,KWINTSHEUL,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000410,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,67726143,Van der Goes Europa B.V.,Nederland,Bovendijk,33,,2295RV,KWINTSHEUL,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000411,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,92474217,Kampert Watersystemen,Nederland,Sasdijk,83,,4251AD,WERKENDAM,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000411,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,92474217,Kampert Watersystemen,Nederland,Sasdijk,83,,4251AD,WERKENDAM,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000412,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,62094343,Lek Scrapping Services B.V.,Nederland,Oudewand,92,A,7201LM,ZUTPHEN,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000413,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,62094343,Lek Scrapping Services B.V.,Nederland,Ambachtsweg,20,A,2222AL,KATWIJK ZH,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000414,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,62094343,Lek Scrapping Services B.V.,Nederland,Calslaan,2,A,2804RT,GOUDA,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000414,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,62094343,Lek Scrapping Services B.V.,Nederland,Calslaan,2,A,2804RT,GOUDA,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000415,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,62094343,Lek Scrapping Services B.V.,Nederland,Barwoutswaarder,89,A,3449HK,WOERDEN,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000416,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27258183,SolarNRG Trading B.V.,Nederland,Mercuriusplein,40,,2685LP,POELDIJK,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000416,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27258183,SolarNRG Trading B.V.,Nederland,Mercuriusplein,40,,2685LP,POELDIJK,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000417,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,62094343,Lek Scrapping Services B.V.,Nederland,Susanna van Ettenstraat,1,A,2203GN,NOORDWIJK ZH,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000419,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,62094343,Lek Scrapping Services B.V.,Nederland,Steenstraat,6,A,6301ED,VALKENBURG LB,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000420,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27245017,Hans van der Meijs B.V.,Nederland,Nieuw Oranjekanaal,85,,3151XL,HOEK VAN HOLLAND,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000420,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27245017,Hans van der Meijs B.V.,Nederland,Nieuw Oranjekanaal,85,,3151XL,HOEK VAN HOLLAND,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000421,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27223877,Geest Service & Tuinbouw Automatisering B.V.,Nederland,Nobelstraat,18,,2693BC,'S-GRAVENZANDE,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000421,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27223877,Geest Service & Tuinbouw Automatisering B.V.,Nederland,Nobelstraat,18,,2693BC,'S-GRAVENZANDE,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000423,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,,Particulier,,,,,,,,,200140,metalen,metalen,A02,Overslag / opbulken,N,N,J
087970000423,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,,Particulier,,,,,,,,,200140,metalen,metalen,A02,Overslag / opbulken,N,N,J
087970000424,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27238166,Lans Westland B.V.,Nederland,Maasambacht,2,b,2676CW,MAASDIJK,,Nederland,200135,niet onder 20 01 21 en 20 01 23 vallende afgedankte elektrische en elektronische apparatuur die gevaarlijke onderdelen (6) bevat,niet onder 20 01 21 en 20 01 23 vallende afgedankte elektrische en elektronische apparatuur die geva,A02,Overslag / opbulken,N,N,N
087970000425,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,62094343,Lek Scrapping Services B.V.,Nederland,Nieuw-Loosdrechtsedijk,7,A,1231KL,LOOSDRECHT,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000426,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27226399,Stolk Potplanten B.V.,Nederland,Gravin van Bylandtlaan,6,,2691ND,'S-GRAVENZANDE,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000427,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,62094343,Lek Scrapping Services B.V.,Nederland,Barwoutswaarder,89,A,3449HK,WOERDEN,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000429,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,,Particulier,,,,,,,,,200140,metalen,metalen,A02,Overslag / opbulken,N,N,J
087970000429,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,,Particulier,,,,,,,,,200140,metalen,metalen,A02,Overslag / opbulken,N,N,J
087970000432,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,24254024,Adamas B.V.,Nederland,Aartsdijkweg,19,,2676LE,MAASDIJK,,Nederland,200140,metalen,metalen,C02,Shredderen / knippen,N,N,N
087970000437,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,50171550,Aircoland B.V.,Nederland,Slotenmakerstraat,57,,2672GC,NAALDWIJK,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000437,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,50171550,Aircoland B.V.,Nederland,Slotenmakerstraat,57,,2672GC,NAALDWIJK,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000438,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,92756026,Airco Westland B.V.,Nederland,Slotenmakerstraat,57,,2672GC,NAALDWIJK,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000438,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,92756026,Airco Westland B.V.,Nederland,Slotenmakerstraat,57,,2672GC,NAALDWIJK,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000440,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27277420,Aldomet Handelsonderneming B.V.,Nederland,Grote Woerdlaan,28,,2671CL,NAALDWIJK,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000440,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27277420,Aldomet Handelsonderneming B.V.,Nederland,Grote Woerdlaan,28,,2671CL,NAALDWIJK,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000442,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,24109490,Synres Almoco B.V.,Nederland,Kulkweg,102,,3151XE,HOEK VAN HOLLAND,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000442,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,24109490,Synres Almoco B.V.,Nederland,Kulkweg,102,,3151XE,HOEK VAN HOLLAND,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000443,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27239000,Alweco Scherminstallaties B.V.,Nederland,Honderdland,103,,2676LT,MAASDIJK,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000443,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27239000,Alweco Scherminstallaties B.V.,Nederland,Honderdland,103,,2676LT,MAASDIJK,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000444,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,24424940,American Service Point,Nederland,Marie Curiestraat,6,a,2691HC,'S-GRAVENZANDE,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000444,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,24424940,American Service Point,Nederland,Marie Curiestraat,6,a,2691HC,'S-GRAVENZANDE,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000446,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,30166782,APAC Services B.V.,Nederland,Krommewetering,131,,3543AN,UTRECHT,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000449,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27295682,Van der Lee Transport Maasdijk B.V.,Nederland,Herenlaan,8,,3155DC,MAASLAND,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000452,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,24219637,Auto- en Scheeps Electriciteit (A.S.E.) B.V.,Nederland,Trawlerweg,6,,3133KS,VLAARDINGEN,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000452,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,24219637,Auto- en Scheeps Electriciteit (A.S.E.) B.V.,Nederland,Trawlerweg,6,,3133KS,VLAARDINGEN,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000453,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27224222,Aspar Tuinaanleg B.V.,Nederland,Laan van Poot,9,,2678LG,DE LIER,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000460,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27233847,Batist Westland B.V.,Nederland,Naaldwijkseweg,5,A,2291PA,WATERINGEN,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000461,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27222194,Beekenkamp Plants B.V.,Nederland,Korte Kruisweg,141,C,2676BS,MAASDIJK,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000462,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,22039193,BeKaBe Bekabeling B.V.,Nederland,Heliniumweg,10,A,3133AX,VLAARDINGEN,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000463,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,56668201,Beko Groothandel B.V.,Nederland,Franklinstraat,17,,2691HB,'S-GRAVENZANDE,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000463,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,56668201,Beko Groothandel B.V.,Nederland,Franklinstraat,17,,2691HB,'S-GRAVENZANDE,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000464,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27310809,C. van den Berg Allround,Nederland,Viool,64,,2678HJ,DE LIER,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000464,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27310809,C. van den Berg Allround,Nederland,Viool,64,,2678HJ,DE LIER,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000466,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,87834901,S. van Bergeijk Heftrucks VOF,Nederland,Ziedewijdsekade,12,,2991VS,BARENDRECHT,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000470,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,,Particulier,,,,,,,,,200140,metalen,metalen,A02,Overslag / opbulken,N,N,J
087970000471,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27231260,Boers Tuinbouw,Nederland,Monsterseweg,94,,2691JK,'S-GRAVENZANDE,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000471,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27231260,Boers Tuinbouw,Nederland,Monsterseweg,94,,2691JK,'S-GRAVENZANDE,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000474,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,24395913,W.J. Borremans,Nederland,Zeehoeveweg,2,a,3233XK,OOSTVOORNE,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000475,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,73292192,Bos Bloemen B.V.,Nederland,Alsemgeestlaan,15,,2691PJ,'S-GRAVENZANDE,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000475,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,73292192,Bos Bloemen B.V.,Nederland,Alsemgeestlaan,15,,2691PJ,'S-GRAVENZANDE,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000477,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,,Particulier,,,,,,,,,200140,metalen,metalen,A02,Overslag / opbulken,N,N,J
087970000478,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27217874,Bouwactief 's-Gravenzande B.V.,Nederland,Fultonstraat,1,,2691HA,'S-GRAVENZANDE,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000478,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27217874,Bouwactief 's-Gravenzande B.V.,Nederland,Fultonstraat,1,,2691HA,'S-GRAVENZANDE,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000479,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,62094343,Lek Scrapping Services B.V.,Nederland,Ceresstraat,235,A,6291XV,VAALS,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000479,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,62094343,Lek Scrapping Services B.V.,Nederland,Ceresstraat,235,A,6291XV,VAALS,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000480,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,62094343,Lek Scrapping Services B.V.,Nederland,Steenstraat,6,A,6301ED,VALKENBURG LB,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
087970000480,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,62094343,Lek Scrapping Services B.V.,Nederland,Steenstraat,6,A,6301ED,VALKENBURG LB,,Nederland,200140,metalen,metalen,A02,Overslag / opbulken,N,N,N
